  RET-JU-PARKIR | ang: 0 | real: 0
  RET-JU-PARKIR | ang: 0 | real: 0
  RET-JU-PARKIR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 275980000 | real: 263556500
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 650000000 | real: 853750000
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 16284735000 | real: 16328426426
  RET-JU-PASAR | ang: 275980000 | real: 263556500
  RET-JU-PASAR | ang: 650000000 | real: 853750000
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 0 | real: 0
  RET-JU-PASAR | ang: 16284735000 | real: 16328426426
  RET-JUS-ASET | ang: 1788080000 | real: 2176147070
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 7784538250 | real: 3975864077
  RET-JUS-ASET | ang: 1788080000 | real: 2176147070
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 0 | real: 0
  RET-JUS-ASET | ang: 7784538250 | real: 3975864077
  RET-JUS-PARKIR | ang: 0 | real: 0
  RET-JUS-PARKIR | ang: 0 | real: 0
  RET-JUS-PELABUHAN | ang: 0 | real: 0
  RET-JUS-PELABUHAN | ang: 0 | real: 0
  RET-JUS-PELELANGAN | ang: 0 | real: 0
  RET-JUS-PELELANGAN | ang: 0 | real: 0
  RET-JUS-PENGINAPAN | ang: 0 | real: 0
  RET-JUS-PENGINAPAN | ang: 4000000000 | real: 0
  RET-JUS-PENGINAPAN | ang: 4000000000 | real: 0
  RET-JUS-PENYEBERANGAN | ang: 0 | real: 0
  RET-JUS-PENYEBERANGAN | ang: 856820250 | real: 465208500
  RET-JUS-PENYEBERANGAN | ang: 856820250 | real: 465208500
  RET-JUS-PRODUK | ang: 0 | real: 0
  RET-JUS-PRODUK | ang: 0 | real: 0
  RET-JUS-REKREASI | ang: 0 | real: 0
  RET-JUS-REKREASI | ang: 0 | real: 0
  RET-JUS-RPH | ang: 282503000 | real: 372395000
  RET-JUS-RPH | ang: 0 | real: 0
  RET-JUS-RPH | ang: 282503000 | real: 372395000
  RET-JUS-TEMPAT-USAHA | ang: 0 | real: 0
  RET-JUS-TEMPAT-USAHA | ang: 857135000 | real: 962113507
  RET-JUS-TEMPAT-USAHA | ang: 857135000 | real: 962113507
  RET-PT-PBG | ang: 21806179275 | real: 26287101359
  RET-PT-PBG | ang: 18801179275 | real: 21829678759
  RET-PT-PBG | ang: 0 | real: 0
  RET-PT-PBG | ang: 0 | real: 0
  RET-PT-PBG | ang: 3000000000 | real: 4450006600
  RET-PT-PBG | ang: 0 | real: 0
  RET-PT-PBG | ang: 0 | real: 0
