
==================== REALISASI PENDAPATAN TA 2023.xlsx ====================
Row 0: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 3: KODE REKENING | nan | nan | nan | nan | nan | URAIAN | ANGGARAN  | ANGGARAN  PERUBAHAN | REALISASI S/D BLN LALU | REALISASI BLN INI | REALISASI S/D BLN INI | % REALISASI | 1.0 | 2.0 | 3.0 | 4.0 | 5.0 | 6.0 | 7.0
Row 4: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 5: nan | nan | nan | nan | nan | nan | nan |   | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 6: 4 | nan | nan | nan | nan | nan | PENDAPATAN | 2129806028009 | 2158768636464 | 2162300104934 | 172122745254 | 2334422850188 | 108.13677810382293 | 6914470378.0 | 1706768172.0 | 3477324253.0 | 1559582166.0 | 1024191227.0 | 631717680.0 | 0.0
Row 7: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 8: 4 | 1.0 | nan | nan | nan | nan | PENDAPATAN ASLI DAERAH | 562314237237 | 584365277946 | 650851386731 | 75405236019 | 726256622750 | 124.28127579768898 | 1716249411.0 | 1706768172.0 | 1695423553.0 | 1559582166.0 | 1024191227.0 | 631717680.0 | 0.0
Row 9: 4 | 1.0 | 1.0 | nan | nan | nan | Pajak Daerah | 355012627000 | 357200000000 | 419648259067 | 42554011423 | 462202270490 | 129.3959323880179 | 1203936543.0 | 1508823648.0 | 1646240707.0 | 1438009720.0 | 963584302.0 | 623400930.0 | 0.0
Row 10: 4 | 1.0 | 1.0 | 9.0 | nan | nan | Pajak Reklame | 4600000000 | 5000000000 | 5851316324 | 307867463 | 6159183787 | 123.18367574 | 10625000.0 | 14709750.0 | 13735050.0 | 31264400.0 | 76029720.0 | 1366188.0 | 0.0
Row 11: 4 | 1.0 | 1.0 | 9.0 | 1.0 | nan | Pajak Reklame Papan/Billboard/Videotron/ Megatron | 3900000000 | 4300000000 | 5542118324 | 292187463 | 5834305787 | 135.68152993023256 | 10625000.0 | 13869750.0 | 12925050.0 | 31264400.0 | 76029720.0 | 1366188.0 | 0.0
Row 12: 4 | 1.0 | 1.0 | 9.0 | 1.0 | 1.0 | Pajak Reklame Papan/Billboard/Videotron/ Megatron | 3900000000 | 4300000000 | 5542118324 | 292187463 | 5834305787 | 135.68152993023256 | 10625000.0 | 13869750.0 | 12925050.0 | 31264400.0 | 76029720.0 | 1366188.0 | 0.0
Row 13: nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
Row 14: 4 | 1.0 | 1.0 | 9.0 | 2.0 | nan | Pajak Reklame Kain | 440000000 | 440000000 | 267581000 | 15680000 | 283261000 | 64.3775 | 0.0 | 840000.0 | 810000.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 15: 4 | 1.0 | 1.0 | 9.0 | 2.0 | 1.0 | Pajak Reklame Kain | 440000000 | 440000000 | 267581000 | 15680000 | 283261000 | 64.3775 | 0.0 | 840000.0 | 810000.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 16: 4 | 1.0 | 1.0 | 9.0 | 4.0 | nan | Pajak Reklame Selebaran | 10000000 | 10000000 | 1955000 | 0 | 1955000 | 19.55 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 17: 4 | 1.0 | 1.0 | 9.0 | 4.0 | 1.0 | Pajak Reklame Selebaran | 10000000 | 10000000 | 1955000 | 0 | 1955000 | 19.55 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 18: 4 | 1.0 | 1.0 | 9.0 | 9.0 | nan | Pajak Reklame Film/Slide | 250000000 | 250000000 | 39662000 | 0 | 39662000 | 15.8648 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
Row 19: 4 | 1.0 | 1.0 | 9.0 | 9.0 | 1.0 | Pajak Reklame Film/Slide | 250000000 | 250000000 | 39662000 | 0 | 39662000 | 15.8648 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
