TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2021,17,Kab. Pacitan,33108151000.0,35571955001.23,22208174390.0,16829943993.0,2600000000.0,2704269238.35,83491935141.0,156577393187.0
2021,18,Kab. Pamekasan,42570650387.0,38503953058.0,12086747418.0,10057295111.0,1854888227.0,2080932532.8,150356183905.0,155310246142.11
2021,19,Kab. Pasuruan,425139779780.0,393860523388.66,36669818784.0,30094738924.33,4654760005.0,4777764881.0,198602140202.0,272464660339.62
2021,20,Kab. Ponorogo,85525000000.0,96514159283.0,12026668933.0,11395512881.0,1150690865.0,1152503864.6,175338498070.0,267530658977.71
2021,21,Kab. Probolinggo,61675000000.0,65846762042.0,17683845395.0,15439225777.0,6164538103.0,6199646527.9,192037891057.0,154157689417.91
2021,22,Kab. Sampang,25367900000.0,31004138887.0,29192550800.0,20679865642.0,5817410229.75,5774992102.75,75054354293.0,77853644081.28
2021,23,Kab. Sidoarjo,962962000000.0,897697809454.0,71797328070.0,64023209844.0,31057199907.0,31133395762.5,648667895368.0,643919863068.92
2021,24,Kab. Situbondo,42540349415.0,45896691659.0,13044500919.0,12271180343.0,4424715320.0,4787494637.37,139907711552.0,119264037543.19
2021,25,Kab. Sumenep,31911015000.0,38701802074.8,8999675000.0,9842235042.0,15789122000.0,16547828081.15,171939359871.0,187340321400.31
2021,26,Kab. Trenggalek,37063900000.0,39026817857.0,14307458845.0,12613997046.4,5250000000.0,5428465728.72,200307074062.0,176401373668.45
2021,27,Kab. Tuban,272786343325.0,310086279270.0,29748982076.0,40282795951.0,17817611328.0,17822251456.36,141953998846.0,127431329185.32
2021,28,Kab. Tulungagung,97950600000.0,106313973751.0,18142225500.0,20296892123.0,6366563191.0,6400865514.75,455727254844.0,738824732961.21
2021,29,Kab. Mojokerto,306396955181.0,348053435935.89,34227129625.0,29214981373.73,5421264092.0,5421264091.85,194075023083.0,186436019437.68
2021,30,Kota Batu,119366676231.0,120648204570.0,6564433259.3,5170531250.0,3176694245.12,3167842346.85,14637379160.89,17842967755.83
2021,31,Kota Blitar,35245000000.0,38279290179.35,6789417339.0,3434828892.0,139574561514.0,252074589629.27,139574561514.0,252074589629.17
2021,32,Kota Kediri,111581773554.0,115163546223.66,13199829500.0,10156556473.0,1195475204.0,701149136.05,135487653913.0,173857160444.44
2021,33,Kota Madiun,82260000000.0,87874777059.32,15462633570.0,17462705195.0,15092455426.0,16199882796.95,130549104000.0,144378289037.51
2021,34,Kota Malang,462000000000.0,419928623926.46,45542791500.0,40788787184.98,25217322874.0,25974904635.15,81307331108.0,71137984295.46
2021,35,Kota Mojokerto,50034000000.0,52376571219.2,10372581000.0,10705567738.0,4919506000.0,3521682036.35,140841599943.0,91548627616.88
2021,36,Kota Pasuruan,35684728300.0,39922015220.0,7785361410.0,7591157397.0,5942447467.0,5849860799.95,80889122257.0,53387447116.16
2021,37,Kota Probolinggo,48801150000.0,47447863702.0,15377008482.0,13257837000.0,1329442700.0,1517244683.95,132349608687.0,149587085293.67
2021,38,Kota Surabaya,4245952242350.0,3649931910437.0,354044747943.0,235648758762.54,164173248498.0,160867394117.45,558639903759.0,681038190203.35
2022,XI,Prov. DKI Jakarta,45700000000000.0,40267758921920.0,806878300000.0,376351733175.0,793735537821.0,402424109447.0,8362220915771.0,4595602552253.0
2022,XII,Prov. Jawa Barat,20648581527631.0,21542606068935.0,35567675778.0,44957581179.0,470587591603.0,468989416325.0,993549788152.0,1378135624592.57
2022,1,Kab. Bandung,690995000000.0,680549043678.0,43526598570.0,27946187950.0,85466703392.0,85400668931.0,428870558241.0,443512924564.48
2022,2,Kab. Bandung Barat,480000000000.0,495814400587.0,21341968392.0,15097577355.0,989684042.0,1253070525.0,238595294659.0,155077001448.06
2022,3,Kab. Bekasi,1979845186486.0,2108177572697.74,120576106600.0,128564402932.0,22477494378.0,14329605755.0,252940323351.0,278970499533.26
2022,4,Kab. Bogor,2369772820000.0,2595228087872.0,153751721189.0,93422330864.0,74195370019.0,75860020313.0,1141373842822.0,964314942645.06
2022,5,Kab. Ciamis,74654807000.0,77808970542.7,9135739886.0,10312229054.0,3700000000.0,3943875706.0,195172756416.0,208765202173.0
2022,6,Kab. Cianjur,237248060043.0,236280096557.0,29719779808.0,23100910163.0,10200355843.0,10200355843.0,546823051215.0,363564673233.0
2022,7,Kab. Cirebon,278528660262.0,308442409838.0,23353204505.0,27897867887.0,9633523000.0,13702211968.0,442681331099.0,445221300117.0
2022,8,Kab. Garut,156311500000.0,157569982468.0,22150188325.4,15711817595.0,7044369160.0,7044369160.0,298937311907.0,305712597187.0
2022,9,Kab. Indramayu,147245000000.0,168237776658.85,31811595000.0,26728586217.0,18765062762.0,11165686168.0,413532792000.0,353579909516.24
2022,10,Kab. Karawang,1179597671000.0,1227742862075.0,44759564436.0,42293629250.0,6869005662.0,10181332281.0,390459054401.0,223262254317.0
2022,11,Kab. Kuningan,131304000000.0,118200627459.0,175799157404.0,58386729848.0,6363701269.0,7138783168.0,238530635755.0,131650426964.0
2022,12,Kab. Majalengka,160280682000.0,155624624338.0,18561109599.0,19679353726.0,7595131878.0,7409795269.0,351827514466.0,316906342840.99
2022,13,Kab. Pangandaran,86225000000.0,75365829369.0,40643522100.0,38742502213.0,996924550.0,996924550.0,168270766196.0,141745025220.97
2022,14,Kab. Purwakarta,441350000000.0,331386466618.0,40983359774.0,13732602881.0,7717532000.0,6959205038.0,205560688426.0,166977299457.0
2022,15,Kab. Subang,350541811521.0,264968382782.0,29423414562.0,12728054336.0,24942087722.0,21462367663.0,211472940646.0,185110213937.0
2022,16,Kab. Sukabumi,284433000000.0,296076944561.0,12726360000.0,12703917737.0,10770100000.0,10552763362.0,339636603463.0,369033538219.0
2022,17,Kab. Sumedang,237977066250.0,221379897839.0,16129543526.0,9276102181.0,12638338095.0,12643497231.0,264713691009.0,275686310804.84
2022,18,Kab. Tasikmalaya,90085825000.0,93706187090.0,8678695168.0,5307781607.0,22749755710.0,24739258843.0,235692356192.0,176748414670.99
2022,19,Kota Bandung,2386800000000.0,2138902003211.0,40101236600.0,30927337733.0,13159726190.0,15231517616.0,602735633559.0,574262539308.39
2022,20,Kota Banjar,18046374432.0,19820572968.0,4295321332.0,4139694818.0,4348771177.0,4348771177.0,124318049523.0,91340694591.0
2022,21,Kota Bekasi,2196858077066.0,2012879316011.0,101608851766.0,77069527433.0,15595925753.0,12655601035.0,397685645342.0,496023466879.0
2022,22,Kota Bogor,754175900000.0,744960592537.0,37834007000.0,23942828414.0,32169497964.0,32170048280.0,326707820522.0,346545749527.92
2022,23,Kota Cimahi,168162607277.0,193907866523.0,10549195000.0,11294729342.0,11022613597.0,11022613597.0,185526164403.0,178637242037.48
2022,24,Kota Cirebon,198512249000.0,191999856661.0,15904859725.0,11206031976.0,8055501000.0,4860296914.0,349450235752.0,332276829531.0
2022,25,Kota Depok,1281078776412.0,1357069142571.0,38632750293.0,39548195785.0,20409574974.0,23317038495.0,202922484190.0,250525315726.0
2022,26,Kota Sukabumi,55803403046.0,67552075530.0,5863651000.0,6215920368.0,4753064486.0,4753064486.0,268232325801.0,284742622203.0
2022,27,Kota Tasikmalaya,168313162072.0,159043569254.0,17440517000.0,11877941377.0,6867043837.0,6867125110.0,185075715500.0,163573577959.35
2022,XII,Prov. Banten,7921445500000.0,7777071655135.0,20284560000.0,18383034050.0,56731718520.0,56731718520.0,385478755893.0,350953118837.03
2022,1,Kab. Lebak,157990931461.0,164514306909.0,14612120081.0,15340163939.0,5573222115.0,6023001558.0,200801783176.0,218272791600.0
2022,2,Kab. Pandeglang,79518138142.0,68103250289.0,21550393238.0,17105435057.0,14860532627.0,14860532627.0,192697019371.0,147775041735.75
